x,y
0,0
0.1875,0
0.375,0
0.5625,0
0.75,0
0.9375,0
1.125,0
1.3125,0
1.5,0
1.6875,0
1.875,0
2.0625,0
2.25,0
2.4375,0
2.625,0
2.8125,0
3,0
3,0.1875
3,0.375
3,0.5625
3,0.75
3,0.9375
3,1.125
3,1.3125
3,1.5
3,1.6875
3,1.875
3,2.0625
3,2.25
3,2.4375
3,2.625
3,2.8125
3,3
2.8125,3
2.625,3
2.4375,3
2.25,3
2.0625,3
1.875,3
1.6875,3
1.5,3
1.3125,3
1.125,3
0.9375,3
0.75,3
0.5625,3
0.375,3
0.1875,3
0,3
0,2.8125
0,2.625
0,2.4375
0,2.25
0,2.0625
0,1.875
0,1.6875
0,1.5
0,1.3125
0,1.125
0,0.9375
0,0.75
0,0.5625
0,0.375
0,0.1875
1,1
1.125,1
1.25,1
1.375,1
1.5,1
1.625,1
1.75,1
1.875,1
2,1
2,1.125
2,1.25
2,1.375
2,1.5
2,1.625
2,1.75
2,1.875
2,2
1.875,2
1.75,2
1.625,2
1.5,2
1.375,2
1.25,2
1.125,2
1,2
1,1.875
1,1.75
1,1.625
1,1.5
1,1.375
1,1.25
1,1.125
0.1875,0.1875
0.1875,0.375
0.1875,0.5625
0.1875,0.75
0.1875,0.9375
0.1875,1.125
0.1875,1.3125
0.1875,1.5
0.1875,1.6875
0.1875,1.875
0.1875,2.0625
0.1875,2.25
0.1875,2.4375
0.1875,2.625
0.1875,2.8125
0.375,0.1875
0.375,0.375
0.375,0.5625
0.375,0.75
0.375,0.9375
0.375,1.125
0.375,1.3125
0.375,1.5
0.375,1.6875
0.375,1.875
0.375,2.0625
0.375,2.25
0.375,2.4375
0.375,2.625
0.375,2.8125
0.5625,0.1875
0.5625,0.375
0.5625,0.5625
0.5625,0.75
0.5625,0.9375
0.5625,1.125
0.5625,1.3125
0.5625,1.5
0.5625,1.6875
0.5625,1.875
0.5625,2.0625
0.5625,2.25
0.5625,2.4375
0.5625,2.625
0.5625,2.8125
0.75,0.1875
0.75,0.375
0.75,0.5625
0.75,0.75
0.75,0.9375
0.75,1.125
0.75,1.3125
0.75,1.5
0.75,1.6875
0.75,1.875
0.75,2.0625
0.75,2.25
0.75,2.4375
0.75,2.625
0.75,2.8125
0.9375,0.1875
0.9375,0.375
0.9375,0.5625
0.9375,0.75
0.9375,0.9375
0.9375,1.125
0.9375,1.3125
0.9375,1.5
0.9375,1.6875
0.9375,1.875
0.9375,2.0625
0.9375,2.25
0.9375,2.4375
0.9375,2.625
0.9375,2.8125
1.125,0.1875
1.125,0.375
1.125,0.5625
1.125,0.75
1.125,0.9375
1.125,2.0625
1.125,2.25
1.125,2.4375
1.125,2.625
1.125,2.8125
1.3125,0.1875
1.3125,0.375
1.3125,0.5625
1.3125,0.75
1.3125,0.9375
1.3125,2.0625
1.3125,2.25
1.3125,2.4375
1.3125,2.625
1.3125,2.8125
1.5,0.1875
1.5,0.375
1.5,0.5625
1.5,0.75
1.5,0.9375
1.5,2.0625
1.5,2.25
1.5,2.4375
1.5,2.625
1.5,2.8125
1.6875,0.1875
1.6875,0.375
1.6875,0.5625
1.6875,0.75
1.6875,0.9375
1.6875,2.0625
1.6875,2.25
1.6875,2.4375
1.6875,2.625
1.6875,2.8125
1.875,0.1875
1.875,0.375
1.875,0.5625
1.875,0.75
1.875,0.9375
1.875,2.0625
1.875,2.25
1.875,2.4375
1.875,2.625
1.875,2.8125
2.0625,0.1875
2.0625,0.375
2.0625,0.5625
2.0625,0.75
2.0625,0.9375
2.0625,1.125
2.0625,1.3125
2.0625,1.5
2.0625,1.6875
2.0625,1.875
2.0625,2.0625
2.0625,2.25
2.0625,2.4375
2.0625,2.625
2.0625,2.8125
2.25,0.1875
2.25,0.375
2.25,0.5625
2.25,0.75
2.25,0.9375
2.25,1.125
2.25,1.3125
2.25,1.5
2.25,1.6875
2.25,1.875
2.25,2.0625
2.25,2.25
2.25,2.4375
2.25,2.625
2.25,2.8125
2.4375,0.1875
2.4375,0.375
2.4375,0.5625
2.4375,0.75
2.4375,0.9375
2.4375,1.125
2.4375,1.3125
2.4375,1.5
2.4375,1.6875
2.4375,1.875
2.4375,2.0625
2.4375,2.25
2.4375,2.4375
2.4375,2.625
2.4375,2.8125
2.625,0.1875
2.625,0.375
2.625,0.5625
2.625,0.75
2.625,0.9375
2.625,1.125
2.625,1.3125
2.625,1.5
2.625,1.6875
2.625,1.875
2.625,2.0625
2.625,2.25
2.625,2.4375
2.625,2.625
2.625,2.8125
2.8125,0.1875
2.8125,0.375
2.8125,0.5625
2.8125,0.75
2.8125,0.9375
2.8125,1.125
2.8125,1.3125
2.8125,1.5
2.8125,1.6875
2.8125,1.875
2.8125,2.0625
2.8125,2.25
2.8125,2.4375
2.8125,2.625
2.8125,2.8125
